c1	¶In the beginning, God created the heavens and the earth—
c2	Now the earth was formless and empty,
c3	and darkness <i>was</i> over the face of the deep.
c4	And the Spirit of God <i>was</i> hovering over the surface of the waters.
c5	And God said,
c6	“Let there be light!”
c7	And there was light.
c8	And God saw the light,
c9	that <i>it</i> <i>was</i> good,
c10	and God caused <i>there</i> <i>to</i> <i>be</i> a separation between the light and between the darkness.
c11	And God called the light Day,
c12	and the darkness he called Night.
c13	And there was evening
c14	and there was morning,
c15	<i>the</i> first day.<br>
c16	And God said,
c17	“Let there be a vaulted dome in the midst of the waters,
c18	and <i>⌊</i>let it cause a separation between the waters<i>⌋</i>.”
c19	So God made the vaulted dome,
c20	and he caused a separation between the waters
c21	which <i>were</i> under the vaulted dome
c22	and between the waters
c23	which <i>were</i> over the vaulted dome.
c24	And it was so.
c25	And God called the vaulted dome “heaven.”
c26	And there was evening,
c27	and there was morning,
c28	a second day.<br>
c29	And God said,
c30	“Let the waters under heaven be gathered to one place,
c31	and let the dry ground appear.”
c32	And it was so.
c33	And God called the dry ground “earth,”
c34	and he called the collection of the waters “seas.”
c35	And God saw
c36	that <i>it</i> <i>was</i> good.
c37	And God said,
c38	“Let the earth produce green plants
c39	<i>that</i> <i>will</i> bear seed—
c40	fruit trees
c41	bearing fruit <i>⌊</i>in which <i>there</i> <i>is</i> seed<i>⌋</i>— according to its kind,
c43	on the earth.”
c44	And it was so.
c45	And the earth brought forth green plants
c46	bearing seed according to its kind,
c47	and trees
c48	bearing fruit
c49	<i>⌊</i>in which <i>there</i> <i>was</i> seed<i>⌋</i> according to
c50	its kind.
c51	And God saw
c52	that <i>it</i> <i>was</i> good.
c53	And there was evening
c54	and there was morning,
c55	a third day.<br>
c56	And God said,
c57	“Let there be lights in the vaulted dome of heaven
c58	<i>⌊</i>to separate day from night<i>⌋</i>,
c59	and let them be as signs and for appointed times, and for days and years,
c60	and they shall be as lights in the vaulted dome of heaven
c61	to give light on the earth.”
c62	And it <i>was</i> so.
c63	And God made two great lights,
c64	the greater light to rule the day
c65	and the smaller light to rule the night,
c66	and the stars.
c67	And God placed them in the vaulted dome of heaven
c68	to give light on the earth
c69	and to rule over the day and over the night,
c70	and to <i>⌊</i>separate light from darkness<i>⌋</i>.
c71	And God saw
c72	that <i>it</i> <i>was</i> good.
c73	And there was evening
c74	and there was morning,
c75	a fourth day.<br>
c76	And God said,
c77	“Let the waters swarm <i>with</i> swarms of living creatures,
c78	and let birds fly over the earth across the face of the vaulted dome of heaven.
c79	So God created the great sea creatures and every living creature
c81	<i>that</i> moves,
c82	<i>with</i> which the waters swarm,
c83	according to their kind,
c84	and every bird <i>with</i> wings according to its kind.
c85	And God saw
c86	that <i>it</i> <i>was</i> good.
c87	And God blessed them,
c88	saying,
c89	“Be fruitful
c90	and multiply,
c91	and fill the waters in the seas,
c92	and let the birds multiply on the earth.”
c93	And there was evening,
c94	and there was morning,
c95	a fifth day.<br>
c96	And God said,
c97	“Let the earth bring forth living creatures according to their kind:
c98	cattle and moving things, and wild animals according to their kind.”
c99	And it was so.
c100	So God made wild animals according to their kind
c101	and the cattle according to their kind,
c102	and every creeping thing of the earth according to its kind.
c103	And God saw
c104	that <i>it</i> <i>was</i> good.<br>
c105	And God said,
c106	“Let us make humankind in our image <i>and</i> according to our likeness,
c107	and let them rule over the fish of the sea, and over the birds of heaven, and over the cattle, and over all the earth, and over every moving thing
c108	that moves upon the earth.”
c109	So God created humankind in his image,
c110	in the likeness of God he created him,
c111	male and female he created them.
c112	And God blessed them,
c113	and God said to them,
c114	“Be fruitful
c115	and multiply,
c116	and fill the earth
c117	and subdue it,
c118	and rule over the fish of the sea and the birds of heaven, and over every animal
c119	that moves upon the earth.”<br>
c120	And God said,
c121	“Look— I am giving to you every plant
c122	<i>that</i> bears seed
c123	which <i>is</i> on the face of the whole earth,
c124	and every kind of tree
c125	<i>⌊</i>that bears fruit<i>⌋</i>.
c127	They shall be yours as food.”
c128	And to every kind of animal of the earth and to every bird of heaven, and to everything that moves upon the earth
c129	in which <i>there</i> <i>is</i> life
c130	<i>I</i> <i>am</i> <i>giving</i> every green plant as food.”
c131	And it was so.
c132	And God saw everything
c133	that he had made and,
c134	behold, <i>it</i> <i>was</i> very good.
c135	And there was evening,
c136	and there was morning,
c137	a sixth day.
c138	¶And heaven and earth and all their array were finished.
c139	And on the seventh day God finished his work
c140	that he had done,
c141	and he rested on the seventh day from all his work
c142	that he had done.
c143	And God blessed the seventh day,
c144	and he sanctified it,
c145	because on it he rested from all his work
c146	<i>⌊</i>of creating that
c147	<i>there</i> <i>was</i> to do<i>⌋</i>.
c148	¶These <i>are</i> the generations of heaven and earth
c149	when they were created,
c150	in the day
c151	<i>that</i> Yahweh God made earth and heaven—
c152	<i>⌊</i>before any plant of the field was<i>⌋</i> on earth,
c153	and <i>before</i> <i>⌊</i>any plant of the field<i>⌋</i> had sprung up,
c154	because Yahweh God had not caused it to rain upon the earth,
c155	and there was no human being
c156	to cultivate the ground,
c157	but a stream <i>would</i> rise from the earth
c158	and water the whole face of the ground—
c159	when Yahweh God formed the man <i>of</i> dust from the ground,
c160	and he blew into his nostrils the breath of life,
c161	and the man became a living creature.<br>
c162	And Yahweh God planted a garden in Eden in the east,
c163	and there he put the man
c164	whom he had formed.
c165	And Yahweh God caused to grow from the ground every tree
c166	<i>that</i> was pleasing to the sight
c167	and good for food.
c168	And the tree of life <i>was</i> in the midst of the garden,
