1	40.1.1!1	<p><reference osisRef="MAT.1.1!1" type="Main clauses" level="0" verse="MAT 1:1"><grk>βίβλος</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p>
11	40.1.2!1	<p><reference osisRef="MAT.1.2!1" type="note" precword="ἀβραὰμ" folword="ἐγέννησεν" verse="MAT 1:2" ><grk>ἀβραὰμ</grk></reference></p><p><b>Inline annotations -</b> <eng>Never arthrous in nominative.</eng></p><hr><p><reference osisRef="MAT.1.2!1" type="Main clauses" level="0" verse="MAT 1:2"><grk>ἀβραὰμ</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p><hr><p><reference osisRef="MAT.1.2!1" type="Referential PoD" label="Top" verse="MAT 1:2" ><grk>ἀβραὰμ</grk></reference></p><p><b>Referential PoD -</b> Pre-verbal topical subject other referential point of departure (NARR §3.1, NonNarr §4.3, DFNTG §§2.2, 2.8; as in 1 Th 1:6).</p>
16	40.1.2!5	<p><reference osisRef="MAT.1.2!5" type="Main clauses" level="0" verse="MAT 1:2"><grk>ἰσαὰκ</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p><hr><p><reference osisRef="MAT.1.2!5" type="Referential PoD" label="Top" verse="MAT 1:2" ><grk>ἰσαὰκ</grk></reference></p><p><b>Referential PoD -</b> Pre-verbal topical subject other referential point of departure (NARR §3.1, NonNarr §4.3, DFNTG §§2.2, 2.8; as in 1 Th 1:6).</p>
22	40.1.2!10	<p><reference osisRef="MAT.1.2!10" type="Main clauses" level="0" verse="MAT 1:2"><grk>ἰακὼβ</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p><hr><p><reference osisRef="MAT.1.2!10" type="Referential PoD" label="Top" verse="MAT 1:2" ><grk>ἰακὼβ</grk></reference></p><p><b>Referential PoD -</b> Pre-verbal topical subject other referential point of departure (NARR §3.1, NonNarr §4.3, DFNTG §§2.2, 2.8; as in 1 Th 1:6).</p>
32	40.1.3!1	<p><reference osisRef="MAT.1.3!1" type="Main clauses" level="0" verse="MAT 1:3"><grk>ἰούδας</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p><hr><p><reference osisRef="MAT.1.3!1" type="Referential PoD" label="Top" verse="MAT 1:3" ><grk>ἰούδας</grk></reference></p><p><b>Referential PoD -</b> Pre-verbal topical subject other referential point of departure (NARR §3.1, NonNarr §4.3, DFNTG §§2.2, 2.8; as in 1 Th 1:6).</p>
44	40.1.3!12	<p><reference osisRef="MAT.1.3!12" type="Main clauses" level="0" verse="MAT 1:3"><grk>φάρες</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p><hr><p><reference osisRef="MAT.1.3!12" type="Referential PoD" label="Top" verse="MAT 1:3" ><grk>φάρες</grk></reference></p><p><b>Referential PoD -</b> Pre-verbal topical subject other referential point of departure (NARR §3.1, NonNarr §4.3, DFNTG §§2.2, 2.8; as in 1 Th 1:6).</p>
50	40.1.3!17	<p><reference osisRef="MAT.1.3!17" type="Main clauses" level="0" verse="MAT 1:3"><grk>ἑσρὼμ</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p><hr><p><reference osisRef="MAT.1.3!17" type="Referential PoD" label="Top" verse="MAT 1:3" ><grk>ἑσρὼμ</grk></reference></p><p><b>Referential PoD -</b> Pre-verbal topical subject other referential point of departure (NARR §3.1, NonNarr §4.3, DFNTG §§2.2, 2.8; as in 1 Th 1:6).</p>
56	40.1.4!1	<p><reference osisRef="MAT.1.4!1" type="Main clauses" level="0" verse="MAT 1:4"><grk>ἀρὰμ</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p><hr><p><reference osisRef="MAT.1.4!1" type="Referential PoD" label="Top" verse="MAT 1:4" ><grk>ἀρὰμ</grk></reference></p><p><b>Referential PoD -</b> Pre-verbal topical subject other referential point of departure (NARR §3.1, NonNarr §4.3, DFNTG §§2.2, 2.8; as in 1 Th 1:6).</p>
62	40.1.4!6	<p><reference osisRef="MAT.1.4!6" type="Main clauses" level="0" verse="MAT 1:4"><grk>ἀμιναδὰβ</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p><hr><p><reference osisRef="MAT.1.4!6" type="Referential PoD" label="Top" verse="MAT 1:4" ><grk>ἀμιναδὰβ</grk></reference></p><p><b>Referential PoD -</b> Pre-verbal topical subject other referential point of departure (NARR §3.1, NonNarr §4.3, DFNTG §§2.2, 2.8; as in 1 Th 1:6).</p>
68	40.1.4!11	<p><reference osisRef="MAT.1.4!11" type="Main clauses" level="0" verse="MAT 1:4"><grk>ναασσὼν</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p><hr><p><reference osisRef="MAT.1.4!11" type="Referential PoD" label="Top" verse="MAT 1:4" ><grk>ναασσὼν</grk></reference></p><p><b>Referential PoD -</b> Pre-verbal topical subject other referential point of departure (NARR §3.1, NonNarr §4.3, DFNTG §§2.2, 2.8; as in 1 Th 1:6).</p>
74	40.1.5!1	<p><reference osisRef="MAT.1.5!1" type="Main clauses" level="0" verse="MAT 1:5"><grk>σαλμὼν</grk></reference></p><p><b>Main clauses -</b> Main clause segmentation.</p><hr><p><reference osisRef="MAT.1.5!1" type="Referential PoD" label="Top" verse="MAT 1:5" ><grk>σαλμὼν</grk></reference></p><p><b>Referential PoD -</b> Pre-verbal topical subject other referential point of departure (NARR §3.1, NonNarr §4.3, DFNTG §§2.2, 2.8; as in 1 Th 1:6).</p>
